,map_link,vod_link,team_names,comp_mappings
0,https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2/?game=119527&tab=overview,https://www.youtube.com/live/C1oH27E4o9c?feature=share&t=12300,"['ZETA DIVISION', 'Rex Regum Qeon']","[('TENNN', 'Killjoy'), ('crow', 'Breach'), ('SugarZ3ro', 'Omen'), ('Dep', 'Jett'), ('Laz', 'Sova'), ('Lmemore', 'Killjoy'), ('EJAY', 'Jett'), ('2ge', 'Astra'), ('xffero', 'Sova'), ('fl1pzjder', 'Breach')]"
0,https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2/?game=119528&tab=overview,https://www.youtube.com/live/C1oH27E4o9c?feature=share&t=8137,"['ZETA DIVISION', 'Rex Regum Qeon']","[('Dep', 'Jett'), ('TENNN', 'Killjoy'), ('SugarZ3ro', 'Omen'), ('Laz', 'Sova'), ('crow', 'Kayo'), ('EJAY', 'Jett'), ('xffero', 'Sova'), ('2ge', 'Astra'), ('Lmemore', 'Killjoy'), ('fl1pzjder', 'Kayo')]"
0,https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2/?game=119529&tab=overview,https://www.youtube.com/live/C1oH27E4o9c?feature=share&t=4201,"['ZETA DIVISION', 'Rex Regum Qeon']","[('SugarZ3ro', 'Omen'), ('TENNN', 'Killjoy'), ('crow', 'Breach'), ('Dep', 'Neon'), ('Laz', 'Fade'), ('Lmemore', 'Killjoy'), ('fl1pzjder', 'Breach'), ('2ge', 'Omen'), ('EJAY', 'Jett'), ('xffero', 'Skye')]"
0,https://www.vlr.gg/184462/talon-esports-vs-t1-champions-tour-2023-pacific-league-w2/?game=119530&tab=overview,https://www.youtube.com/live/C1oH27E4o9c?feature=share&t=21029,"['Talon Esports', 'T1']","[('Patt', 'Gekko'), ('Crws', 'Omen'), ('foxz', 'Fade'), ('garnetS', 'Jett'), ('Sushiboys', 'Killjoy'), ('Sayaplayer', 'Jett'), ('Carpe', 'Kayo'), ('xeta', 'Sova'), ('Munchkin', 'Killjoy'), ('ban', 'Omen')]"
0,https://www.vlr.gg/184462/talon-esports-vs-t1-champions-tour-2023-pacific-league-w2/?game=119531&tab=overview,https://www.youtube.com/live/C1oH27E4o9c?feature=share&t=17284,"['Talon Esports', 'T1']","[('Patt', 'Breach'), ('Sushiboys', 'Killjoy'), ('garnetS', 'Jett'), ('Crws', 'Omen'), ('foxz', 'Gekko'), ('Sayaplayer', 'Jett'), ('xeta', 'Sova'), ('Munchkin', 'Killjoy'), ('iNTRO', 'Omen'), ('Carpe', 'Breach')]"
0,https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2/?game=119533&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=12058,"['Team Secret', 'Paper Rex']","[('DubsteP', 'Killjoy'), ('Jremy', 'Raze'), ('BORKUM', 'Omen'), ('JessieVash', 'Sova'), ('invy', 'Breach'), ('d4v41', 'Sova'), ('Benkai', 'Cypher'), ('Jinggg', 'Raze'), ('mindfreak', 'Omen'), ('f0rsakeN', 'Yoru')]"
0,https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2/?game=119534&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=7851,"['Team Secret', 'Paper Rex']","[('invy', 'Breach'), ('DubsteP', 'Cypher'), ('BORKUM', 'Brimstone'), ('JessieVash', 'Fade'), ('Jremy', 'Raze'), ('Benkai', 'Breach'), ('Jinggg', 'Raze'), ('d4v41', 'Killjoy'), ('f0rsakeN', 'Neon'), ('mindfreak', 'Viper')]"
0,https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2/?game=119535&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=4197,"['Team Secret', 'Paper Rex']","[('DubsteP', 'Jett'), ('Jremy', 'Raze'), ('invy', 'Skye'), ('BORKUM', 'Astra'), ('JessieVash', 'Cypher'), ('Jinggg', 'Raze'), ('d4v41', 'Skye'), ('f0rsakeN', 'Jett'), ('Benkai', 'Viper'), ('mindfreak', 'Astra')]"
0,https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2/?game=119536&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=25234,"['Gen.G', 'DetonatioN FocusMe']","[('TS', 'Omen'), ('k1Ng', 'Killjoy'), ('GodDead', 'Kayo'), ('Sylvan', 'Fade'), ('Meteor', 'Jett'), ('Suggest', 'Raze'), ('xnfri', 'Omen'), ('takej', 'Viper'), ('Anthem', 'Skye'), ('Reita', 'Cypher')]"
0,https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2/?game=119537&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=21688,"['Gen.G', 'DetonatioN FocusMe']","[('k1Ng', 'Viper'), ('GodDead', 'Kayo'), ('eKo', 'Breach'), ('TS', 'Astra'), ('Meteor', 'Raze'), ('Suggest', 'Jett'), ('Anthem', 'Skye'), ('Reita', 'Cypher'), ('xnfri', 'Brimstone'), ('takej', 'Viper')]"
0,https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2/?game=119538&tab=overview,https://www.youtube.com/live/rbB4N67x2nM?feature=share&t=17620,"['Gen.G', 'DetonatioN FocusMe']","[('Meteor', 'Jett'), ('TS', 'Astra'), ('k1Ng', 'Viper'), ('GodDead', 'Kayo'), ('Sylvan', 'Skye'), ('Suggest', 'Jett'), ('Reita', 'Killjoy'), ('Anthem', 'Skye'), ('takej', 'Viper'), ('xnfri', 'Harbor')]"
0,https://www.vlr.gg/184466/global-esports-vs-drx-champions-tour-2023-pacific-league-w2/?game=119539&tab=overview,https://www.youtube.com/live/xMNYcfI6XFw?feature=share&t=8306,"['Global Esports', 'DRX']","[('Monyet', 'Omen'), ('WRONSKI', 'Kayo'), ('t3xture', 'Jett'), ('AYRIN', 'Killjoy'), ('Bazzi', 'Skye'), ('Foxy9', 'Jett'), ('stax', 'Breach'), ('BuZz', 'Killjoy'), ('Rb', 'Sova'), ('MaKo', 'Omen')]"
0,https://www.vlr.gg/184466/global-esports-vs-drx-champions-tour-2023-pacific-league-w2/?game=119540&tab=overview,https://www.youtube.com/live/xMNYcfI6XFw?feature=share&t=4105,"['Global Esports', 'DRX']","[('Monyet', 'Astra'), ('WRONSKI', 'Sage'), ('Bazzi', 'Skye'), ('AYRIN', 'Viper'), ('t3xture', 'Raze'), ('MaKo', 'Viper'), ('BuZz', 'Kayo'), ('Rb', 'Astra'), ('stax', 'Skye'), ('Foxy9', 'Raze')]"
0,https://www.vlr.gg/184467/rex-regum-qeon-vs-detonation-focusme-champions-tour-2023-pacific-league-w3/?game=119542&tab=overview,https://www.youtube.com/live/6ISBDGTo6Ss?feature=share&t=7008,"['Rex Regum Qeon', 'DetonatioN FocusMe']","[('xffero', 'Sova'), ('fl1pzjder', 'Breach'), ('2ge', 'Astra'), ('EJAY', 'Jett'), ('Lmemore', 'Killjoy'), ('Reita', 'Sova'), ('takej', 'Killjoy'), ('Suggest', 'Jett'), ('xnfri', 'Omen'), ('Anthem', 'Breach')]"
0,https://www.vlr.gg/184467/rex-regum-qeon-vs-detonation-focusme-champions-tour-2023-pacific-league-w3/?game=119543&tab=overview,https://www.youtube.com/live/6ISBDGTo6Ss?feature=share&t=4039,"['Rex Regum Qeon', 'DetonatioN FocusMe']","[('fl1pzjder', 'Skye'), ('xffero', 'Astra'), ('Lmemore', 'Killjoy'), ('2ge', 'Harbor'), ('EJAY', 'Jett'), ('Anthem', 'Skye'), ('xnfri', 'Harbor'), ('Reita', 'Killjoy'), ('Suggest', 'Jett'), ('takej', 'Viper')]"
0,https://www.vlr.gg/184468/t1-vs-paper-rex-champions-tour-2023-pacific-league-w3/?game=119545&tab=overview,https://www.youtube.com/live/6ISBDGTo6Ss?feature=share&t=15479,"['T1', 'Paper Rex']","[('xeta', 'Harbor'), ('iNTRO', 'Viper'), ('Munchkin', 'Killjoy'), ('Sayaplayer', 'Jett'), ('Carpe', 'Skye'), ('f0rsakeN', 'Killjoy'), ('something', 'Jett'), ('d4v41', 'Skye'), ('mindfreak', 'Astra'), ('Jinggg', 'Phoenix')]"
0,https://www.vlr.gg/184468/t1-vs-paper-rex-champions-tour-2023-pacific-league-w3/?game=119546&tab=overview,https://www.youtube.com/live/6ISBDGTo6Ss?feature=share&t=12173,"['T1', 'Paper Rex']","[('Munchkin', 'Killjoy'), ('Sayaplayer', 'Raze'), ('Carpe', 'Brimstone'), ('xeta', 'Breach'), ('ban', 'Jett'), ('mindfreak', 'Brimstone'), ('Benkai', 'Breach'), ('f0rsakeN', 'Neon'), ('d4v41', 'Killjoy'), ('Jinggg', 'Raze')]"
0,https://www.vlr.gg/184469/zeta-division-vs-global-esports-champions-tour-2023-pacific-league-w3/?game=119548&tab=overview,https://www.youtube.com/live/s6Tm6aLslJw?feature=share&t=12723,"['ZETA DIVISION', 'Global Esports']","[('SugarZ3ro', 'Viper'), ('Dep', 'Jett'), ('Laz', 'Skye'), ('TENNN', 'Killjoy'), ('crow', 'Harbor'), ('t3xture', 'Jett'), ('Bazzi', 'Fade'), ('Monyet', 'Astra'), ('AYRIN', 'Killjoy'), ('WRONSKI', 'Kayo')]"
0,https://www.vlr.gg/184469/zeta-division-vs-global-esports-champions-tour-2023-pacific-league-w3/?game=119549&tab=overview,https://www.youtube.com/live/s6Tm6aLslJw?feature=share&t=8160,"['ZETA DIVISION', 'Global Esports']","[('Dep', 'Jett'), ('crow', 'Kayo'), ('SugarZ3ro', 'Omen'), ('Laz', 'Sova'), ('TENNN', 'Killjoy'), ('Monyet', 'Omen'), ('Bazzi', 'Sova'), ('WRONSKI', 'Kayo'), ('AYRIN', 'Killjoy'), ('t3xture', 'Jett')]"
0,https://www.vlr.gg/184469/zeta-division-vs-global-esports-champions-tour-2023-pacific-league-w3/?game=119550&tab=overview,https://www.youtube.com/live/s6Tm6aLslJw?feature=share&t=4053,"['ZETA DIVISION', 'Global Esports']","[('Dep', 'Jett'), ('TENNN', 'Killjoy'), ('Laz', 'Sova'), ('SugarZ3ro', 'Omen'), ('crow', 'Breach'), ('Bazzi', 'Skye'), ('WRONSKI', 'Kayo'), ('Monyet', 'Omen'), ('AYRIN', 'Killjoy'), ('t3xture', 'Jett')]"
0,https://www.vlr.gg/184470/talon-esports-vs-drx-champions-tour-2023-pacific-league-w3/?game=119551&tab=overview,https://www.youtube.com/live/s6Tm6aLslJw?feature=share&t=20755,"['Talon Esports', 'DRX']","[('Sushiboys', 'Jett'), ('foxz', 'Yoru'), ('Crws', 'Breach'), ('Patt', 'Astra'), ('JitBoyS', 'Raze'), ('MaKo', 'Viper'), ('BuZz', 'Kayo'), ('stax', 'Skye'), ('Rb', 'Astra'), ('Foxy9', 'Raze')]"
0,https://www.vlr.gg/184470/talon-esports-vs-drx-champions-tour-2023-pacific-league-w3/?game=119552&tab=overview,https://www.youtube.com/live/s6Tm6aLslJw?feature=share&t=17921,"['Talon Esports', 'DRX']","[('Crws', 'Harbor'), ('Patt', 'Killjoy'), ('foxz', 'Skye'), ('Sushiboys', 'Jett'), ('JitBoyS', 'Reyna'), ('Foxy9', 'Jett'), ('Rb', 'Harbor'), ('BuZz', 'Kayo'), ('MaKo', 'Viper'), ('stax', 'Fade')]"
0,https://www.vlr.gg/184471/team-secret-vs-gen-g-champions-tour-2023-pacific-league-w3/?game=119554&tab=overview,https://www.youtube.com/live/s0fNbE92nMQ?feature=share&t=7824,"['Team Secret', 'Gen.G']","[('invy', 'Breach'), ('Jremy', 'Raze'), ('JessieVash', 'Sova'), ('BORKUM', 'Omen'), ('DubsteP', 'Killjoy'), ('k1Ng', 'Killjoy'), ('TS', 'Omen'), ('Sylvan', 'Sova'), ('GodDead', 'Breach'), ('Meteor', 'Jett')]"
0,https://www.vlr.gg/184471/team-secret-vs-gen-g-champions-tour-2023-pacific-league-w3/?game=119555&tab=overview,https://www.youtube.com/live/s0fNbE92nMQ?feature=share&t=4093,"['Team Secret', 'Gen.G']","[('invy', 'Breach'), ('DubsteP', 'Cypher'), ('Jremy', 'Raze'), ('BORKUM', 'Brimstone'), ('JessieVash', 'Fade'), ('GodDead', 'Kayo'), ('k1Ng', 'Viper'), ('TS', 'Omen'), ('Meteor', 'Raze'), ('eKo', 'Breach')]"
0,https://www.vlr.gg/184472/paper-rex-vs-drx-champions-tour-2023-pacific-league-w4/?game=119557&tab=overview,https://www.youtube.com/live/y_zW8GWzvyY?feature=share&t=7965,"['Paper Rex', 'DRX']","[('f0rsakeN', 'Killjoy'), ('Benkai', 'Sova'), ('mindfreak', 'Omen'), ('d4v41', 'Kayo'), ('something', 'Jett'), ('Rb', 'Sova'), ('MaKo', 'Omen'), ('BuZz', 'Killjoy'), ('Foxy9', 'Jett'), ('stax', 'Kayo')]"
0,https://www.vlr.gg/184472/paper-rex-vs-drx-champions-tour-2023-pacific-league-w4/?game=119558&tab=overview,https://www.youtube.com/live/y_zW8GWzvyY?feature=share&t=4586,"['Paper Rex', 'DRX']","[('d4v41', 'Viper'), ('Jinggg', 'Raze'), ('something', 'Jett'), ('f0rsakeN', 'Skye'), ('mindfreak', 'Astra'), ('MaKo', 'Viper'), ('stax', 'Skye'), ('BuZz', 'Kayo'), ('Foxy9', 'Raze'), ('Rb', 'Astra')]"
0,https://www.vlr.gg/184473/team-secret-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w4/?game=119560&tab=overview,https://www.youtube.com/live/y_zW8GWzvyY?feature=share&t=17694,"['Team Secret', 'Rex Regum Qeon']","[('BORKUM', 'Viper'), ('invy', 'Kayo'), ('DubsteP', 'Killjoy'), ('JessieVash', 'Sova'), ('Jremy', 'Sage'), ('Lmemore', 'Killjoy'), ('EJAY', 'Jett'), ('xffero', 'Viper'), ('2ge', 'Harbor'), ('fl1pzjder', 'Skye')]"
